,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
189,Banana Cream Pie,dessert,1,2.5,11.5,34.5,255,13,163.5,2,20.5,,,,4.50
190,Pineapple Zucchini Cake with Cream Cheese Frosting,Dessert,1,3.5,8,30,228,27,298.5,2,26,30,35,1 hr,4.84
191,Low Fat Cream Cheese Frosting,Dessert,,1,3,8,64.9,,,2,7.4,,,,5
192,Super Light Blueberry Cream Pie,dinner,1,3,9,33,230,1.5,128.5,2,19,10,,1 hr 10 mins,5
193,Coconut Cream Pops,Dessert,,2.8,4.5,13.6,106.3,,,0.4,10.7,,,,5
194,Blueberry Compote,Breakfast,2,0.5,,22.7,89,,,2,,,,,5
195,No-Bake Cheesecake,dessert,1,3,12,23,181,14.5,168,1,6.5,20,0,3 hrs 20 mins,5
196,Strawberries and Cream,dessert,3,0.3,1.7,6.8,31.2,,,1.2,5.8,,,,
197,Banana Apricot Puff Pastry Tarts,dessert,1,,,,,,,,,,,40 mins,2.50
198,Black Bean Brownies,Dessert,1,2.9,2.6,28,138.1,,,1.8,,,,,4.71
